plate_index,well_index,row,column,cells_n,nuc_area,nuc_round,nuc_micronuclei_n,spots_561_n,spots_561_area,spots_561_int_mean,spots_561_int_sum
HT001451,B2,2,2,1064,176.568951082,0.915878326538,0.131578947368,6.62687969925,191.085526316,781.521852424,151879.565789
HT001451,B3,2,3,873,177.537671697,0.918135706093,0.154639175258,6.48109965636,186.892325315,773.124770616,145886.597938
HT001451,B4,2,4,911,175.429441865,0.921089245444,0.153677277717,6.60592755214,190.525795829,819.012825336,160388.969265
HT001451,B5,2,5,858,171.916814277,0.921848942823,0.270396270396,6.42424242424,185.184149184,854.523894062,161587.160839
HT001451,B6,2,6,799,168.306188049,0.923668135798,0.212765957447,6.36420525657,183.538172716,791.559902203,152775.664581
HT001451,B7,2,7,939,169.744350339,0.920163345669,0.168264110756,5.77848775293,166.588924388,752.07474341,124733.031949
HT001451,B8,2,8,992,176.776184284,0.914179071788,0.17439516129,6.92036290323,199.616935484,809.854211961,168784.75
HT001451,B9,2,9,903,176.245561869,0.917421040039,0.208194905869,6.02547065338,173.738648948,835.435805264,146178.899225
HT001451,B10,2,10,841,179.667566099,0.917931032995,0.164090368609,6.5338882283,188.489892985,792.292724617,155746.160523
HT001451,B11,2,11,884,172.621063114,0.922443568901,0.180995475113,6.15950226244,177.753393665,1055.4147282,188035.50905
HT001451,B12,2,12,633,178.966384616,0.922059947997,0.178515007899,6.10426540284,175.982622433,863.917533258,165527.800948
HT001451,B13,2,13,793,177.873254164,0.918755722994,0.184110970996,6.29634300126,181.403530895,839.417418187,157944.027743
HT001451,B14,2,14,749,175.90728553,0.919663559358,0.214953271028,6.99866488652,201.750333778,883.83583899,174486.656876
HT001451,B15,2,15,920,169.236609626,0.920815220752,0.192391304348,6.32826086957,182.597826087,840.08625504,157329.955435
HT001451,B16,2,16,794,177.353500041,0.90966177408,0.317380352645,6.53652392947,188.295969773,908.014776091,183204.089421
HT001451,B17,2,17,935,181.031899241,0.91662036007,0.259893048128,6.93155080214,200.03315508,893.849888972,191280.159358
HT001451,B18,2,18,1132,175.949626958,0.914225062535,0.145759717314,5.92932862191,171.078621908,735.853712638,131675.933746
HT001451,B19,2,19,856,180.32320458,0.915964421447,0.209112149533,6.09462616822,175.775700935,861.625201456,157729.570093
HT001451,B20,2,20,917,177.205763608,0.92366514814,0.203925845147,5.53653217012,159.760087241,709.688733988,118452.294438
HT001451,B21,2,21,774,173.374825564,0.92952767912,0.209302325581,6.79457364341,195.715762274,868.426782579,175177.748062
HT001451,B22,2,22,1026,188.408359512,0.921539558189,0.132553606238,6.70760233918,193.490253411,768.071851041,150512.676413
HT001451,B23,2,23,1019,197.191708771,0.925590035962,0.171736997056,3.4131501472,98.5652600589,711.047952479,76102.2374877
HT001451,C2,3,2,1168,168.098945822,0.909781848419,0.153253424658,5.81592465753,167.846746575,831.298443073,140835.48887
HT001451,C3,3,3,1016,169.716030267,0.914488945957,0.167322834646,7.07086614173,203.815944882,788.793084666,167950.28248
HT001451,C4,3,4,721,169.990983694,0.915795743497,0.21359223301,6.37447988904,183.847434119,805.082592808,155054.137309
HT001451,C5,3,5,731,171.534724349,0.917770599838,0.205198358413,6.44596443228,186.013679891,734.984864232,144363.859097
HT001451,C6,3,6,746,176.629980242,0.920984925414,0.182305630027,6.16085790885,177.726541555,840.872623523,153668.219839
HT001451,C7,3,7,890,181.09289592,0.913639484945,0.304494382022,5.93483146067,171.2,840.0141608,148851.211236
HT001451,C8,3,8,792,185.725855153,0.9208454215,0.189393939394,6.62752525253,191.108585859,762.343939863,148539.70202
HT001451,C9,3,9,640,175.558597805,0.925642839024,0.19375,6.1671875,177.7984375,870.425959978,157282.248438
