ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Timepoint	Plane	Nuclei Final - Number of Objects	Nuclei Final - Nucleus Area [µm²] - Mean per Well	Nuclei Final - Nucleus Roundness - Mean per Well	Nuclei Final - Number of Spots 561 Good- per Cell 561  - Mean per Well	Nuclei Final - Spot Area [px²]- Sum per Cell 561  - Mean per Well	Nuclei Final - Intensity Spots 561 Good BP600/37 Mean - Mean per Well	Nuclei Final - Intensity Spots 561 Good BP600/37 Sum - Mean per Well	Nuclei Final - Number of Micronuclei - Mean per Well	Number of Analyzed Fields	Link
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B2	2	2	1	1	1072	174.165263783	0.912899667043	5.61194029851	161.956156716	789.054502059	132585.128731	0.119402985075	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.2
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B3	2	3	1	1	602	236.888195355	0.921101210749	11.5747508306	333.109634551	1112.89793426	388266.049834	0.297342192691	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.3
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B4	2	4	1	1	1130	178.000553697	0.917364125441	6.48318584071	187.161061947	880.290800063	168684.495575	0.201769911504	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.4
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B5	2	5	1	1	1011	174.793631391	0.917710575747	6.82195845697	196.727002967	822.298084149	162315.281899	0.142433234421	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.5
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B6	2	6	1	1	927	178.440086771	0.919376078744	6.67313915858	192.501618123	879.699775216	169457.099245	0.202804746494	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.6
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B7	2	7	1	1	875	182.277156162	0.917068577456	6.82628571429	196.906285714	833.213064662	167743.201143	0.197714285714	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.7
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B8	2	8	1	1	794	174.995768058	0.911582353082	6.98740554156	201.525188917	914.794480993	193643.167506	0.185138539043	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.8
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B9	2	9	1	1	792	178.975659285	0.916121479199	6.60732323232	190.700757576	817.638595549	156996.566919	0.223484848485	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.9
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B10	2	10	1	1	811	176.732223895	0.911693360303	5.82120838471	167.903822441	829.607308738	139796.596794	0.156596794081	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.10
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B11	2	11	1	1	876	176.200766037	0.91817606833	6.58333333333	189.853881279	755.797692011	143076.957763	0.172374429224	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.11
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B12	2	12	1	1	969	177.258102831	0.918021796703	6.11971104231	176.524251806	765.94168304	138022.083591	0.190918472652	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.12
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B13	2	13	1	1	1196	180.140294104	0.914433389842	5.73076923077	165.401337793	755.856761575	129763.634615	0.129598662207	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.13
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B14	2	14	1	1	877	179.051650647	0.916037679889	6.24401368301	180.05359179	780.421049959	146768.783352	0.21094640821	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.14
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B15	2	15	1	1	1093	168.839197477	0.918435934845	6.4153705398	185.096980787	864.432005679	158668.806953	0.231473010064	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.15
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B16	2	16	1	1	932	182.076468021	0.920094449642	6.5643776824	189.402360515	874.587586378	182724.44206	0.181330472103	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.16
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B17	2	17	1	1	1148	168.864819377	0.91879101366	6.37804878049	183.852787456	793.484091012	150586.997387	0.16724738676	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.17
230824_sgEpi_nFISH_Screen	10223	HT001452	10868	2023-08-25T22:59:52Z	10918	B18	2	18	1	1	1025	180.208384451	0.918863507486	6.44682926829	186.052682927	797.322321383	150747.091707	0.171707317073	16	http://columbus-sg.nci.nih.gov/browse/measurement/10918/well=2.18
