Plate	Well2	GeneSymbol	Well	GeneID
1	B2	SCMH1	B02	N/A
1	B3	KMT2B	B03	N/A
1	B4	SHPRH	B04	N/A
1	B5	TRIM24	B05	N/A
1	B6	JADE2	B06	N/A
1	B7	SETD1B	B07	N/A
1	B8	FBL	B08	N/A
1	B9	REST	B09	N/A
1	B10	GTF2H4	B10	N/A
1	B11	DMAP1	B11	N/A
1	B12	CECR2	B12	N/A
1	B13	POLR1D	B13	N/A
1	B14	H1FX	B14	N/A
1	B15	NOC3L	B15	N/A
1	B16	ASF1B	B16	N/A
1	B17	HIST1H4B	B17	N/A
1	B18	EXOSC10	B18	N/A
1	B19	MTA1	B19	N/A
1	B20	NAP1L6	B20	N/A
1	B21	LBR	B21	N/A
1	C2	EIF4G1	C02	N/A
1	C3	BPTF	C03	N/A
1	C4	PHF2	C04	N/A
1	C5	SMARCE1	C05	N/A
1	C6	PRDM6	C06	N/A
1	C7	RBM4	C07	N/A
1	C8	H1FNT	C08	N/A
1	C9	CARM1	C09	N/A
1	C10	NUP54	C10	N/A
1	C11	AGO2	C11	N/A
1	C12	RNF40	C12	N/A
1	C13	GLMN	C13	N/A
1	C14	GSK3A	C14	N/A
1	C15	HMGN1	C15	N/A
1	C16	EMSY	C16	N/A
1	C17	APOBEC3C	C17	N/A
1	C18	ASXL1	C18	N/A
1	C19	FMR1	C19	N/A
1	C20	CHEK1	C20	N/A
1	C21	CHRAC1	C21	N/A
1	D2	AURKC	D02	N/A
1	D3	SIN3B	D03	N/A
1	D4	NUP155	D04	N/A
1	D5	NAP1L1	D05	N/A
1	D6	INO80	D06	N/A
1	D7	HIST1H3A	D07	N/A
1	D8	IWS1	D08	N/A
1	D9	PADI2	D09	N/A
1	D10	H2AFJ	D10	N/A
1	D11	OGT	D11	N/A
1	D12	PADI4	D12	N/A
1	D13	KDM1A	D13	N/A
1	D14	FAAP24	D14	N/A
1	D15	POLR1C	D15	N/A
1	D16	WBP2	D16	N/A
1	D17	H2AFV	D17	N/A
1	D18	MIS18A	D18	N/A
1	D19	KMT2C	D19	N/A
1	D20	EP400	D20	N/A
1	D21	DTX3L	D21	N/A
1	E2	RLIM	E02	N/A
1	E3	NUP107	E03	N/A
1	E4	NUPR1	E04	N/A
1	E5	HDAC8	E05	N/A
1	E6	CBX8	E06	N/A
1	E7	ACTR6	E07	N/A
1	E8	HAT1	E08	N/A
1	E9	EZH2	E09	N/A
1	E10	HMBOX1	E10	N/A
1	E11	AURKA	E11	N/A
1	E12	NAP1L2	E12	N/A
1	E13	AR	E13	N/A
1	E14	PUM1	E14	N/A
1	E15	POLR2E	E15	N/A
1	E16	NFRKB	E16	N/A
1	E17	CHD2	E17	N/A
1	E18	ACTR8	E18	N/A
1	E19	PHF12	E19	N/A
1	E20	MYCN	E20	N/A
1	E21	UIMC1	E21	N/A
1	F2	TOX3	F02	N/A
1	F3	POLE4	F03	N/A
1	F4	BAZ1A	F04	N/A
1	F5	STAG2	F05	N/A
1	F6	HIST1H3G	F06	N/A
1	F7	NSD2	F07	N/A
1	F8	ZBTB1	F08	N/A
1	F9	BAZ1B	F09	N/A
1	F10	MRE11	F10	N/A
1	F11	HIST1H3E	F11	N/A
1	F12	SMAD2	F12	N/A
1	F13	HIST1H1T	F13	N/A
1	F14	MSL3	F14	N/A
1	F15	ING1	F15	N/A
1	F16	DPY30	F16	N/A
1	F17	KDM5B	F17	N/A
1	F18	TNKS1BP1	F18	N/A
1	F19	MBD3L4	F19	N/A
1	F20	HUWE1	F20	N/A
1	F21	NCOR2	F21	N/A
1	G2	TSNAX	G02	N/A
1	G3	HIST1H3H	G03	N/A
1	G4	PUM2	G04	N/A
1	G5	RAD51	G05	N/A
1	G6	DSCC1	G06	N/A
1	G7	BCORL1	G07	N/A
1	G8	ZC3H7B	G08	N/A
1	G9	MTF2	G09	N/A
1	G10	PARP14	G10	N/A
1	G11	IGF2	G11	N/A
1	G12	ADAR	G12	N/A
1	G13	SMARCD3	G13	N/A
1	G14	HIST1H4C	G14	N/A
1	G15	CHD9	G15	N/A
1	G16	H3F3C	G16	N/A
