Wells: 384
Plates: 4
Plate	Well	Content
*	*	empty
*	[C,E,G,I,K,M,O]22	killer
*	[B,D,F,H,J,L,N]22	neg
*	[C,E,G,I,K,M,O]23	pos
*	[B,D,F,H,J,L,N]23	pos2
1	B02	sample
1	B03	sample
1	B04	sample
1	B05	sample
1	B06	sample
1	B07	sample
1	B08	sample
1	B09	sample
1	B10	sample
1	B11	sample
1	B12	sample
1	B13	sample
1	B14	sample
1	B15	sample
1	B16	sample
1	B17	sample
1	B18	sample
1	B19	sample
1	B20	sample
1	B21	sample
1	C02	sample
1	C03	sample
1	C04	sample
1	C05	sample
1	C06	sample
1	C07	sample
1	C08	sample
1	C09	sample
1	C10	sample
1	C11	sample
1	C12	sample
1	C13	sample
1	C14	sample
1	C15	sample
1	C16	sample
1	C17	sample
1	C18	sample
1	C19	sample
1	C20	sample
1	C21	sample
1	D02	sample
1	D03	sample
1	D04	sample
1	D05	sample
1	D06	sample
1	D07	sample
1	D08	sample
1	D09	sample
1	D10	sample
1	D11	sample
1	D12	sample
1	D13	sample
1	D14	sample
1	D15	sample
1	D16	sample
1	D17	sample
1	D18	sample
1	D19	sample
1	D20	sample
1	D21	sample
1	E02	sample
1	E03	sample
1	E04	sample
1	E05	sample
1	E06	sample
1	E07	sample
1	E08	sample
1	E09	sample
1	E10	sample
1	E11	sample
1	E12	sample
1	E13	sample
1	E14	sample
1	E15	sample
1	E16	sample
1	E17	sample
1	E18	sample
1	E19	sample
1	E20	sample
1	E21	sample
1	F02	sample
1	F03	sample
1	F04	sample
1	F05	sample
1	F06	sample
1	F07	sample
1	F08	sample
1	F09	sample
1	F10	sample
1	F11	sample
1	F12	sample
1	F13	sample
1	F14	sample
1	F15	sample
1	F16	sample
1	F17	sample
1	F18	sample
1	F19	sample
1	F20	sample
1	F21	sample
1	G02	sample
1	G03	sample
1	G04	sample
1	G05	sample
1	G06	sample
1	G07	sample
1	G08	sample
1	G09	sample
1	G10	sample
1	G11	sample
1	G12	sample
1	G13	sample
1	G14	sample
1	G15	sample
