plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	median_ch1	diff_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	normalized_r1_ch1	normalized_r2_ch1	Well2	GeneSymbol	GeneID
3	350	4.09	O14	sample	sample	1898	1387	1642.5	-511	1.97	1.66	4.301	3.878	O14	MAU2	N/A
3	326	3.97	N14	sample	sample	1772	1555	1663.5	-217	1.84	1.86	2.881	5.064	N14	ERCC2	N/A
4	272	3.22	L08	sample	sample	2204	1448	1826	-756	1.96	1.41	3.888	2.561	L8	DYNLT3	N/A
1	176	3.21	H08	sample	sample	1281	1592	1436.5	311	1.58	1.66	3.708	2.703	H8	CBX3	N/A
4	326	3.06	N14	sample	sample	1863	1636	1749.5	-227	1.66	1.59	3.026	3.092	N14	ZWINT	N/A
4	350	3.02	O14	sample	sample	1799	1763	1781	-36	1.6	1.71	2.557	3.483	O14	KNL1	N/A
3	351	2.97	O15	sample	sample	1868	1387	1627.5	-481	1.93	1.66	2.389	3.547	O15	PCLAF	N/A
3	272	2.9	L08	sample	sample	1532	1427	1479.5	-105	1.59	1.71	1.93	3.876	L8	EPC1	N/A
1	291	2.76	M03	sample	sample	1129	1273	1201	144	1.4	1.32	3.361	2.156	M3	MPG	N/A
3	176	2.69	H08	sample	sample	1571	1484	1527.5	-87	1.63	1.78	1.712	3.67	H8	ZCCHC11	N/A
3	202	2.62	I10	sample	sample	1612	1178	1395	-434	1.67	1.41	3.061	2.185	I10	MAP2K1	N/A
1	303	2.58	M15	sample	sample	1380	1393	1386.5	13	1.71	1.45	4.321	0.849	M15	TDRD9	N/A
2	326	2.54	N14	sample	sample	1236	1405	1320.5	169	1.4	1.3	3.086	1.993	N14	PLK2	N/A
3	107	2.51	E11	sample	sample	1900	972	1436	-928	1.97	1.16	4.184	0.836	E11	HMGN5	N/A
2	224	2.46	J08	sample	sample	1414	1385	1399.5	-29	1.6	1.28	3.072	1.851	J8	USP51	N/A
