plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	median_ch1	diff_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	normalized_r1_ch1	normalized_r2_ch1	Well2	GeneSymbol	GeneID
3	58	19.8	C10	sample	sample	317.05047166	266.995167216	292.022819438	-50.055304444	1.77	1.51	24.142	15.463	C10	TICRR	N/A
3	254	13.34	K14	sample	sample	246.518539391	249.618085556	248.0683124735	3.09954616500002	1.38	1.41	12.509	14.17	K14	RPA2	N/A
2	118	12.23	E22	killer	killer	268.738205762	221.352311605	245.0452586835	-47.385894157	1.5	1.19	18.711	5.754	NA	NA	NA
2	310	11.7	M22	killer	killer	267.706033631	214.392158278	241.0490959545	-53.313875353	1.5	1.15	18.8	4.604	NA	NA	NA
2	176	10.61	H08	sample	sample	235.182351819	256.590528676	245.8864402475	21.408176857	1.32	1.38	11.206	10.022	H8	TSPY4	N/A
4	79	10.54	D07	sample	sample	221.754270708	271.125384026	246.439827367	49.371113318	1.22	1.51	6.295	14.781	D7	CDCA8	N/A
2	27	10.23	B03	sample	sample	236.888195355	230.135362289	233.511778822	-6.75283306599999	1.33	1.24	13.751	6.709	B3	PCNA	N/A
3	166	9.91	G22	killer	killer	239.820548233	229.97734285	234.8989455415	-9.843205383	1.34	1.3	10.586	9.233	NA	NA	NA
3	262	9.82	K22	killer	killer	239.017187587	230.251855215	234.634521401	-8.76533237199999	1.33	1.3	9.724	9.918	NA	NA	NA
1	345	9.38	O09	sample	sample	219.10633373	243.965452374	231.535893052	24.859118644	1.23	1.37	8.377	10.379	O9	CDK1	N/A
4	34	9.26	B10	sample	sample	246.348942	224.868121566	235.608531783	-21.480820434	1.35	1.25	11.221	7.303	B10	MTBP	N/A
3	310	8.93	M22	killer	killer	217.794396785	239.615920673	228.705158729	21.821523888	1.21	1.35	6.586	11.277	NA	NA	NA
2	210	8.11	I18	sample	sample	224.270457003	229.845764288	227.0581106455	5.57530728500001	1.26	1.24	9.109	7.112	I18	CHAF1B	N/A
1	166	7.92	G22	killer	killer	222.57725289	226.254145862	224.415699376	3.67689297199999	1.25	1.27	8.659	7.188	NA	NA	NA
1	214	7.77	I22	killer	killer	196.196812526	263.853082312	230.024947419	67.656269786	1.1	1.48	3.098	12.445	NA	NA	NA
4	246	7.74	K06	sample	sample	238.133903702	218.457656942	228.295780322	-19.67624676	1.31	1.22	9.01	6.478	K6	BIRC5	N/A
4	118	7.16	E22	killer	killer	222.748920851	223.753615583	223.251268217	1.00469473199999	1.22	1.25	7.093	7.217	NA	NA	NA
2	166	7.1	G22	killer	killer	206.28174056	235.150303101	220.7160218305	28.868562541	1.15	1.27	6.359	7.85	NA	NA	NA
2	259	6.99	K19	sample	sample	212.580607657	227.33554561	219.9580766335	14.754937953	1.19	1.22	7.037	6.949	K19	PLK1	N/A
2	262	6.88	K22	killer	killer	226.258925671	205.40017852	215.8295520955	-20.858747151	1.27	1.11	10.452	3.31	NA	NA	NA
4	275	6.57	L11	sample	sample	208.839562275	226.091466171	217.465514223	17.251903896	1.14	1.26	4.835	8.299	L11	RCC2	N/A
3	70	6.55	C22	killer	killer	217.239622213	216.358368719	216.798995466	-0.881253493999992	1.21	1.22	6.616	6.491	NA	NA	NA
2	128	6.5	F08	sample	sample	219.575392413	218.63906279	219.1072276015	-0.936329623000006	1.23	1.18	8.171	4.823	F8	CHAF1A	N/A
1	218	6.43	J02	sample	sample	209.353943703	229.426605877	219.39027479	20.072662174	1.18	1.29	5.82	7.037	J2	POLE	N/A
2	214	6.24	I22	killer	killer	227.896466341	203.414068106	215.6552672235	-24.482398235	1.28	1.1	10.255	2.227	NA	NA	NA
2	160	6.17	G16	sample	sample	208.100199221	214.113185759	211.10669249	6.01298653800001	1.16	1.15	7.062	5.271	G16	TIMELESS	N/A
1	70	6.11	C22	killer	killer	233.3678116	188.833245526	211.100528563	-44.534566074	1.31	1.06	10.96	1.259	NA	NA	NA
1	358	5.97	O22	killer	killer	196.764179148	229.996854329	213.3805167385	33.232675181	1.11	1.29	4.207	7.728	NA	NA	NA
2	70	5.85	C22	killer	killer	221.489525631	201.957650279	211.723587955	-19.531875352	1.24	1.09	8.991	2.716	NA	NA	NA
3	118	5.82	E22	killer	killer	230.086885608	195.345566635	212.7162261215	-34.741318973	1.28	1.1	8.5	3.143	NA	NA	NA
3	214	5.81	I22	killer	killer	200.837983868	220.225565636	210.531774752	19.387581768	1.12	1.24	3.584	8.039	NA	NA	NA
2	266	5.78	L02	sample	sample	206.729390366	211.052521294	208.89095583	4.32313092800001	1.16	1.14	6.062	5.501	L2	POLR2G	N/A
1	270	5.74	L06	sample	sample	207.906871607	222.954145038	215.4305083225	15.047273431	1.17	1.25	5.86	5.627	L6	INCENP	N/A
4	310	5.57	M22	killer	killer	234.69615995	195.967342985	215.3317514675	-38.728816965	1.29	1.09	8.065	3.085	NA	NA	NA
1	310	5.16	M22	killer	killer	190.714200165	235.869509217	213.291854691	45.155309052	1.07	1.32	2.379	7.946	NA	NA	NA
2	108	5.1	E12	sample	sample	212.221830521	210.464566899	211.34319871	-1.75726362199998	1.19	1.13	6.348	3.85	E12	KAT5	N/A
1	167	5.05	G23	pos	pos	208.475007679	205.175642674	206.8253251765	-3.299365005	1.17	1.15	5.984	4.122	NA	NA	NA
4	40	5	B16	sample	sample	212.768025011	209.430551637	211.099288324	-3.33747337399998	1.17	1.17	5.157	4.842	B16	ORC6	N/A
3	274	4.96	L10	sample	sample	206.598473621	200.590331645	203.594402633	-6.00814197600002	1.15	1.13	4.995	4.925	L10	KMT5A	N/A
3	132	4.91	F12	sample	sample	196.089499607	207.847127551	201.968313579	11.757627944	1.09	1.17	4.033	5.797	F12	DDB1	N/A
