plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	median_ch1	diff_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	normalized_r1_ch1	normalized_r2_ch1	Well2	GeneSymbol	GeneID
2	176	15.81	H08	sample	sample	0.758389261745	0.845454545455	0.8019219036	0.08706528371	3.73	4.11	15.275	16.34	H8	TSPY4	N/A
4	275	11.94	L11	sample	sample	0.725581395349	0.930930930931	0.82825616314	0.205349535582	2.72	3.81	9.306	14.565	L11	RCC2	N/A
3	249	10.27	K09	sample	sample	0.556430446194	0.634822804314	0.595626625254	0.07839235812	2.74	2.84	9.369	11.171	K9	DEK	N/A
3	318	9.52	N06	sample	sample	0.509230769231	0.649425287356	0.5793280282935	0.140194518125	2.51	2.91	7.329	11.707	N6	USP21	N/A
1	208	8.89	I16	sample	sample	0.800387596899	0.636893203883	0.718640400391	-0.163494393016	3.7	2.79	11.325	6.462	I16	PARP3	N/A
4	186	6.18	H18	sample	sample	0.568421052632	0.649835345774	0.609128199203	0.081414293142	2.13	2.66	4.462	7.901	H18	SPRTN	N/A
1	358	6.04	O22	killer	killer	0.328947368421	0.723404255319	0.52617581187	0.394456886898	1.52	3.17	2.385	9.696	NA	NA	NA
4	297	5.97	M09	sample	sample	0.562015503876	0.607533414338	0.584774459107	0.045517910462	2.11	2.49	5.119	6.823	M9	MAD2L1	N/A
4	178	5.97	H10	sample	sample	0.632973503435	0.581419624217	0.607196563826	-0.051553879218	2.37	2.38	5.624	6.315	H10	NSL1	N/A
3	339	5.74	O03	sample	sample	0.346361185984	0.477537437604	0.411949311794	0.13117625162	1.71	2.14	4.146	7.336	O3	RSF1	N/A
2	259	5.15	K19	sample	sample	0.446043165468	0.392156862745	0.4191000141065	-0.053886302723	2.19	1.91	5.734	4.557	K19	PLK1	N/A
3	194	5.03	I02	sample	sample	0.377435897436	0.458874458874	0.418155178155	0.081438561438	1.86	2.05	4.764	5.288	I2	RAD21	N/A
4	55	5.01	C07	sample	sample	0.510357815443	0.540229885057	0.52529385025	0.029872069614	1.91	2.21	5.105	4.918	C7	BUB3	N/A
2	175	4.84	H07	sample	sample	0.344788087056	0.475533249686	0.410160668371	0.13074516263	1.7	2.31	3.369	6.311	H7	BRCA1	N/A
1	149	4.68	G05	sample	sample	0.448462929476	0.560371517028	0.504417223252	0.111908587552	2.07	2.46	3.727	5.628	G5	RAD51	N/A
1	68	4.48	C20	sample	sample	0.508641975309	0.411764705882	0.4602033405955	-0.096877269427	2.35	1.81	5.718	3.248	C20	CHEK1	N/A
