plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	median_ch1	diff_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	normalized_r1_ch1	normalized_r2_ch1	Well2	GeneSymbol	GeneID
4	107	4.05	E11	sample	sample	0.921267216418	0.929746433464	0.925506824941	0.00847921704599996	1.01	1.02	2.623	5.484	E11	PPP2CA	N/A
2	203	2.91	I11	sample	sample	0.92870195014	0.926923180517	0.9278125653285	-0.00177876962300005	1.01	1.01	3.181	2.637	I11	NUP133	N/A
2	116	2.9	E20	sample	sample	0.927999312705	0.928614254348	0.9283067835265	0.000614941643000022	1.01	1.01	2.128	3.669	E20	JMJD6	N/A
2	67	2.89	C19	sample	sample	0.926217450193	0.930730934249	0.928474192221	0.00451348405600005	1.01	1.02	2.925	2.861	C19	WDR82	N/A
1	191	2.87	H23	pos2	pos2	0.923108460372	0.929413665864	0.926261063118	0.00630520549199998	1	1.01	1.92	3.826	NA	NA	NA
4	295	2.81	M07	sample	sample	0.916207010654	0.91679616073	0.916501585692	0.000589150076000022	1.01	1.01	2.978	2.637	M7	CLIP1	N/A
3	287	2.81	L23	pos2	pos2	0.920360814784	0.918063705655	0.9192122602195	-0.00229710912900005	1.01	1.01	2.961	2.65	NA	NA	NA
1	199	2.73	I07	sample	sample	0.926459749142	0.929233657954	0.927846703548	0.00277390881200001	1.01	1.01	1.842	3.613	I7	DDX21	N/A
1	87	2.71	D15	sample	sample	0.927320108754	0.922827467163	0.9250737879585	-0.00449264159099994	1.01	1.01	2.956	2.459	D15	POLR1C	N/A
3	42	2.67	B18	sample	sample	0.91049741291	0.910467624295	0.9104825186025	-2.97886149999149e-05	0.998	1	3.369	1.973	B18	TERT	N/A
2	77	2.55	D05	sample	sample	0.931277877935	0.927062062156	0.9291699700455	-0.0042158157790001	1.01	1.01	3.619	1.484	D5	BRD2	N/A
1	162	2.49	G18	sample	sample	0.926344220388	0.927865287439	0.9271047539135	0.00152106705099997	1.01	1.01	1.84	3.13	G18	TWISTNB	N/A
3	51	2.43	C03	sample	sample	0.91983085692	0.918256817558	0.919043837239	-0.00157403936199996	1.01	1.01	1.794	3.075	C3	TNP1	N/A
4	42	2.39	B18	sample	sample	0.914191689315	0.91360349097	0.9138975901425	-0.000588198344999902	1	1	2.898	1.879	B18	SMC4	N/A
3	47	2.34	B23	pos2	pos2	0.920028451393	0.913298736202	0.9166635937975	-0.00672971519100007	1.01	1	2.752	1.92	NA	NA	NA
1	296	2.3	M08	sample	sample	0.92525507171	0.920169065114	0.922712068412	-0.005086006596	1.01	1	2.445	2.155	M8	PPM1D	N/A
3	95	2.29	D23	pos2	pos2	0.920878077801	0.918392684336	0.9196353810685	-0.00248539346499999	1.01	1.01	2.378	2.209	NA	NA	NA
2	250	2.27	K10	sample	sample	0.926328186314	0.92207708676	0.924202636537	-0.00425109955400005	1.01	1.01	2.549	1.999	K10	CBX2	N/A
4	183	2.18	H15	sample	sample	0.917947562016	0.923133240928	0.920540401472	0.00518567891199995	1.01	1.01	1.294	3.075	H15	MAPRE1	N/A
3	151	2.18	G07	sample	sample	0.918877743513	0.921205081438	0.9200414124755	0.00232733792499995	1.01	1.01	1.029	3.322	G7	CTBP2	N/A
1	219	2.17	J03	sample	sample	0.921872899712	0.926164837648	0.92401886868	0.00429193793599991	1	1.01	2.062	2.276	J3	KMT2E	N/A
1	239	2.15	J23	pos2	pos2	0.927363692405	0.919208087403	0.923285889904	-0.00815560500200008	1.01	1	3.307	0.986	NA	NA	NA
4	271	2.14	L07	sample	sample	0.919735117931	0.913200357842	0.9164677378865	-0.006534760089	1.01	1	3.249	1.038	L7	CLASP2	N/A
3	90	2.13	D18	sample	sample	0.908566488403	0.914944541792	0.9117555150975	0.00637805338899999	0.996	1.01	2.179	2.083	D18	GSG2	N/A
1	124	2.13	F04	sample	sample	0.9272807906	0.926462170595	0.9268714805975	-0.000818620004999993	1.01	1.01	2.275	1.987	F4	BAZ1A	N/A
4	247	2.09	K07	sample	sample	0.920497278885	0.913314232021	0.916905755453	-0.00718304686399995	1.01	1	3.112	1.067	K7	CLASP1	N/A
1	301	2.06	M13	sample	sample	0.925698938217	0.921247902374	0.9234734202955	-0.004451035843	1.01	1.01	1.697	2.428	M13	RCOR1	N/A
1	45	2.01	B21	sample	sample	0.92952767912	0.93183328652	0.93068048282	0.00230560739999996	1.01	1.02	2.01	2.015	B21	LBR	N/A
4	274	2	L10	sample	sample	0.917012478463	0.924644790653	0.920828634558	0.00763231218999993	1.01	1.02	0.903	3.103	L10	PAFAH1B1	N/A
4	131	1.99	F11	sample	sample	0.917286153212	0.91595852739	0.916622340301	-0.00132762582199997	1.01	1.01	2.144	1.836	F11	PPP2CB	N/A
3	250	1.97	K10	sample	sample	0.919505632017	0.91373033837	0.9166179851935	-0.00577529364700002	1.01	1	2.382	1.556	K10	TDG	N/A
2	142	1.96	F22	neg	neg	0.928118574561	0.919463725747	0.923791150154	-0.00865484881400003	1.01	1	3.029	0.887	NA	NA	NA
1	173	1.95	H05	sample	sample	0.924945919605	0.921148475754	0.9230471976795	-0.003797443851	1.01	1.01	2.852	1.056	H5	AGO1	N/A
3	343	1.93	O07	sample	sample	0.920357378698	0.913357764252	0.916857571475	-0.00699961444600006	1.01	1	1.84	2.012	O7	UBE2B	N/A
2	152	1.91	G08	sample	sample	0.929493236179	0.915413154069	0.922453195124	-0.01408008211	1.01	1	3.479	0.338	G8	HDAC1	N/A
1	65	1.9	C17	sample	sample	0.92658662673	0.923421540353	0.9250040835415	-0.00316508637700008	1.01	1.01	1.693	2.099	C17	APOBEC3C	N/A
3	66	1.88	C18	sample	sample	0.905369406262	0.91003995716	0.907704681711	0.00467055089799995	0.992	1	2.194	1.563	C18	CENPU	N/A
1	90	1.87	D18	sample	sample	0.927442917882	0.919842231366	0.923642574624	-0.00760068651599999	1.01	1	2.504	1.23	D18	MIS18A	N/A
4	90	1.86	D18	sample	sample	0.920382843082	0.909996974608	0.915189908845	-0.010385868474	1.01	1	3.196	0.522	D18	SMC6	N/A
4	40	1.85	B16	sample	sample	0.910698603908	0.915757252138	0.913227928023	0.00505864823000002	0.999	1.01	1.601	2.091	B16	ORC6	N/A
1	345	1.84	O09	sample	sample	0.931189840709	0.920794927576	0.9259923841425	-0.010394913133	1.01	1.01	2.474	1.206	O9	CDK1	N/A
4	191	1.84	H23	pos2	pos2	0.918397219971	0.919937602349	0.91916741116	0.00154038237800003	1.01	1.01	1.42	2.25	NA	NA	NA
2	115	1.84	E19	sample	sample	0.92278365466	0.926763541692	0.924773598176	0.00397988703200003	1.01	1.01	1.53	2.141	E19	HDAC3	N/A
3	286	1.82	L22	neg	neg	0.913819897851	0.917913173321	0.915866535586	0.00409327546999994	1	1.01	1.043	2.607	NA	NA	NA
3	273	1.82	L09	sample	sample	0.918855804377	0.915911091422	0.9173834478995	-0.00294471295499998	1.01	1.01	2.051	1.582	L9	BCOR	N/A
2	238	1.8	J22	neg	neg	0.928033269662	0.918177120231	0.9231051949465	-0.00985614943099999	1.01	1	3.099	0.509	NA	NA	NA
2	254	1.8	K14	sample	sample	0.925944978207	0.915836524191	0.920890751199	-0.0101084540159999	1.01	1	2.771	0.834	K14	PPP3CA	N/A
4	196	1.8	I04	sample	sample	0.923575694384	0.919944049381	0.9217598718825	-0.00363164500299995	1.01	1.01	2.406	1.186	I4	ACTL6A	N/A
4	255	1.79	K15	sample	sample	0.921006700727	0.918654908652	0.9198308046895	-0.00235179207500003	1.01	1.01	1.676	1.909	K15	TCOF1	N/A
3	302	1.79	M14	sample	sample	0.910153456705	0.913747656449	0.911950556577	0.00359419974399999	0.998	1	0.413	3.158	M14	HIST1H2AC	N/A
1	287	1.77	L23	pos2	pos2	0.927669409716	0.918660010446	0.923164710081	-0.00900939927	1.01	1	2.785	0.746	NA	NA	NA
