plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	median_ch1	diff_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	normalized_r1_ch1	normalized_r2_ch1	Well2	GeneSymbol	GeneID
2	27	12.34	B03	sample	sample	333.109634551	357.69165247	345.4006435105	24.582017919	1.71	1.91	10.46	14.216	B3	PCNA	N/A
2	210	10.25	I18	sample	sample	330.085106383	339.065244668	334.5751755255	8.98013828500001	1.7	1.81	8.957	11.534	I18	CHAF1B	N/A
3	254	10.21	K14	sample	sample	340.345386534	322.602816901	331.4741017175	-17.742569633	1.84	1.78	10.345	10.077	K14	RPA2	N/A
2	204	9.98	I12	sample	sample	306.553128103	335.39480752	320.9739678115	28.841679417	1.57	1.8	7.402	12.552	I12	RBBP4	N/A
2	294	7.26	M06	sample	sample	277.01510574	289.170706006	283.092905873	12.155600266	1.42	1.55	6.222	8.292	M6	ASF1A	N/A
2	128	6.16	F08	sample	sample	276.545454545	271.825127334	274.1852909395	-4.72032721099998	1.42	1.45	5.649	6.668	F8	CHAF1A	N/A
4	151	5.64	G07	sample	sample	298.742559524	268.92716763	283.834863577	-29.815391894	1.53	1.4	6.96	4.318	G7	CENPS	N/A
2	266	5.6	L02	sample	sample	261.497737557	256.903030303	259.20038393	-4.59470725400001	1.34	1.38	5.478	5.721	L2	POLR2G	N/A
1	210	5.19	I18	sample	sample	259.593803787	246.320075758	252.9569397725	-13.273728029	1.37	1.33	5.441	4.946	I18	POLR2C	N/A
3	274	5.02	L10	sample	sample	286.627235213	231.13081761	258.8790264115	-55.496417603	1.55	1.28	6.502	3.538	L10	KMT5A	N/A
1	218	4.76	J02	sample	sample	267.990636704	225.020134228	246.505385466	-42.970502476	1.42	1.22	6.767	2.745	J2	POLE	N/A
2	348	4.63	O12	sample	sample	253.260115607	244.016903915	248.638509761	-9.24321169199999	1.3	1.31	3.939	5.325	O12	RNF4	N/A
2	298	4.62	M10	sample	sample	258.713170732	244.309810671	251.5114907015	-14.403360061	1.33	1.31	4.442	4.806	M10	HIRA	N/A
3	153	4.38	G09	sample	sample	255.980832783	240.107015458	248.0439241205	-15.873817325	1.39	1.33	4.782	3.986	G9	CNOT1	N/A
4	175	4.38	H07	sample	sample	255.234338747	251.295022624	253.2646806855	-3.939316123	1.31	1.31	4.891	3.869	H7	CENPX	N/A
2	178	3.78	H10	sample	sample	240.564805058	260.13215859	250.348481824	19.567353532	1.24	1.39	1.681	5.889	H10	POLR2B	N/A
4	113	3.57	E17	sample	sample	220.36440678	268.753001715	244.5587042475	48.388594935	1.13	1.4	1.454	5.682	E17	MYC	N/A
2	253	3.56	K13	sample	sample	231.476856835	237.532275132	234.5045659835	6.05541829699999	1.19	1.27	3.172	3.939	K13	ELP4	N/A
1	280	3.54	L16	sample	sample	235.902035623	236.349367089	236.125701356	0.447331466000009	1.25	1.28	3.816	3.273	L16	FANCM	N/A
3	206	3.28	I14	sample	sample	217.16449348	220.350694444	218.757593962	3.18620096399999	1.18	1.22	2.897	3.669	I14	CDK9	N/A
1	51	3.24	C03	sample	sample	203.815944882	233.963414634	218.889679758	30.147469752	1.08	1.26	1.86	4.625	C3	BPTF	N/A
4	246	3.24	K06	sample	sample	271.975836431	231.85026738	251.9130519055	-40.125569051	1.39	1.21	4.355	2.123	K6	BIRC5	N/A
2	228	2.93	J12	sample	sample	220.916909621	218.39010989	219.6535097555	-2.52679973100001	1.13	1.17	2.276	3.589	J12	HIST1H4H	N/A
4	315	2.89	N03	sample	sample	246.740131579	237.891284816	242.3157081975	-8.84884676300001	1.26	1.24	2.117	3.664	N3	FANCB	N/A
3	263	2.86	K23	pos	pos	235.249376559	223.065019506	229.1571980325	-12.184357053	1.27	1.23	2.881	2.84	NA	NA	NA
3	131	2.79	F11	sample	sample	214.350112697	255.022796353	234.686454525	40.672683656	1.16	1.41	1.448	4.126	F11	POLR2K	N/A
1	299	2.66	M11	sample	sample	221.044386423	206.001303781	213.522845102	-15.043082642	1.17	1.11	3.588	1.741	M11	DAXX	N/A
4	100	2.58	E04	sample	sample	227.275155833	244.52402746	235.8995916465	17.248871627	1.16	1.28	1.977	3.181	E4	FANCE	N/A
1	260	2.57	K20	sample	sample	224.320366133	238.13006135	231.2252137415	13.809695217	1.19	1.29	2.601	2.543	K20	ATR	N/A
1	86	2.49	D14	sample	sample	211.958393113	237.975816203	224.967104658	26.01742309	1.12	1.29	1.658	3.315	D14	FAAP24	N/A
