plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	median_ch1	diff_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	normalized_r1_ch1	normalized_r2_ch1	Well2	GeneSymbol	GeneID
3	278	39.38	L14	sample	sample	2670.4211477	2644.45833342	2657.43974056	-25.9628142799997	3.48	3.25	37.092	41.661	L14	RAN	N/A
1	224	28.83	J08	sample	sample	2452.35202242	2264.24804379	2358.300033105	-188.10397863	3	2.72	29.376	28.276	J8	UBE2T	N/A
4	76	28	D04	sample	sample	2056.89842214	1963.48107646	2010.1897493	-93.4173456800002	2.7	2.52	30.136	25.873	D4	FANCA	N/A
4	124	23.04	F04	sample	sample	1845.82664247	1788.00924217	1816.91794232	-57.8174002999999	2.42	2.3	24.543	21.528	F4	FANCG	N/A
1	280	22.81	L16	sample	sample	1784.01765687	2262.1842441	2023.100950485	478.16658723	2.18	2.72	17.712	27.916	L16	FANCM	N/A
3	254	22.49	K14	sample	sample	1789.05820982	1954.35948464	1871.70884723	165.30127482	2.33	2.4	19.692	25.287	K14	RPA2	N/A
4	28	20.39	B04	sample	sample	1826.09144183	1649.29414555	1737.69279369	-176.79729628	2.4	2.12	22.434	18.345	B4	FANCL	N/A
4	100	19.02	E04	sample	sample	1677.56758245	1584.8612157	1631.214399075	-92.7063667499999	2.2	2.04	20.194	17.853	E4	FANCE	N/A
3	204	18.65	I12	sample	sample	1455.56891958	1888.81908351	1672.194001545	433.25016393	1.9	2.32	12.646	24.655	I12	NUP58	N/A
1	311	18.02	M23	pos	pos	1738.47780878	1775.88173953	1757.179774155	37.40393075	2.12	2.14	17.023	19.016	NA	NA	NA
1	86	17.63	D14	sample	sample	1608.84750548	1881.69220089	1745.269853185	272.84469541	1.97	2.26	14.594	20.657	D14	FAAP24	N/A
1	263	16.35	K23	pos	pos	1547.50206007	1807.4506146	1677.476337335	259.94855453	1.89	2.18	13.368	19.327	NA	NA	NA
4	291	15.93	M03	sample	sample	1456.33275773	1475.25486189	1465.79380981	18.9221041600001	1.91	1.9	15.538	16.326	M3	FANCF	N/A
1	218	15.74	J02	sample	sample	1622.79352675	1807.2417454	1715.017636075	184.44821865	1.98	2.17	13.897	17.585	J2	POLE	N/A
3	71	15.4	C23	pos	pos	1733.56658618	1350.26524468	1541.91591543	-383.3013415	2.26	1.66	18.848	11.962	NA	NA	NA
1	167	14.1	G23	pos	pos	1498.01522601	1653.38072495	1575.69797548	155.36549894	1.83	1.99	12.505	15.704	NA	NA	NA
1	260	13.9	K20	sample	sample	1340.40721464	1763.54206988	1551.97464226	423.13485524	1.64	2.12	9.526	18.282	K20	ATR	N/A
2	129	13.36	F09	sample	sample	1343.34108595	1639.60450118	1491.472793565	296.26341523	1.65	2.02	9.54	17.185	F9	NKAP	N/A
1	215	13.3	I23	pos	pos	1737.82322121	1333.02672072	1535.424970965	-404.79650049	2.12	1.6	16.694	9.916	NA	NA	NA
3	359	12.75	O23	pos	pos	1671.69313116	1119.65339551	1395.673263335	-552.03973565	2.18	1.37	17.844	7.647	NA	NA	NA
3	263	12.29	K23	pos	pos	1419.36345649	1347.99278074	1383.678118615	-71.3706757500001	1.85	1.66	12.6	11.98	NA	NA	NA
3	119	12.17	E23	pos	pos	1465.10042844	1239.35751253	1352.228970485	-225.74291591	1.91	1.52	14.051	10.293	NA	NA	NA
3	160	12.16	G16	sample	sample	1087.28027707	1557.67338844	1322.476832755	470.39311137	1.42	1.91	6.874	17.455	G16	POLR2I	N/A
2	359	12.15	O23	pos	pos	1872.27994692	1115.24225206	1493.76109949	-757.03769486	2.3	1.37	17.824	6.474	NA	NA	NA
1	359	12	O23	pos	pos	1499.95916353	1478.24706714	1489.103115335	-21.7120963900002	1.83	1.78	11.321	12.672	NA	NA	NA
2	71	11.62	C23	pos	pos	1695.64338858	1228.38564921	1462.014518895	-467.25773937	2.08	1.51	14.792	8.452	NA	NA	NA
2	119	11.47	E23	pos	pos	1571.44376304	1292.26647717	1431.855120105	-279.17728587	1.93	1.59	12.837	10.106	NA	NA	NA
1	119	11.45	E23	pos	pos	1600.36244625	1264.77385103	1432.56814864	-335.58859522	1.95	1.52	14.065	8.825	NA	NA	NA
3	129	11.08	F09	sample	sample	1402.49952126	1303.81184288	1353.15568207	-98.6876783799999	1.83	1.6	11.478	10.677	F9	FANCC	N/A
4	315	10.83	N03	sample	sample	1224.07501881	1269.84340289	1246.95921085	45.76838408	1.61	1.63	9.946	11.71	N3	FANCB	N/A
2	215	10.64	I23	pos	pos	1692.98033892	1139.99751104	1416.48892498	-552.98282788	2.08	1.4	14.376	6.901	NA	NA	NA
3	58	10.31	C10	sample	sample	1229.62749922	1393.71937872	1311.67343897	164.0918795	1.6	1.71	8.576	12.052	C10	TICRR	N/A
4	151	10.15	G07	sample	sample	1330.25038332	1245.43065192	1287.84051762	-84.8197314000001	1.75	1.6	12.776	7.534	G7	CENPS	N/A
3	215	10.02	I23	pos	pos	1199.24694595	1285.52752776	1242.387236855	86.2805818100001	1.56	1.58	8.597	11.45	NA	NA	NA
2	311	9.8	M23	pos	pos	1693.52889142	1031.87479531	1362.701843365	-661.65409611	2.08	1.27	14.604	5.003	NA	NA	NA
3	310	9.43	M22	killer	killer	864.335417139	1518.55634802	1191.4458825795	654.220930881	1.13	1.86	1.961	16.909	NA	NA	NA
2	167	9.37	G23	pos	pos	1887.96441769	804.766975646	1346.365696668	-1083.197442044	2.32	0.992	18.743	-0.004	NA	NA	NA
2	263	9.21	K23	pos	pos	1803.31571667	924.582713985	1363.9492153275	-878.733002685	2.21	1.14	16.089	2.335	NA	NA	NA
