plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	median_ch1	diff_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	normalized_r1_ch1	normalized_r2_ch1	Well2	GeneSymbol	GeneID
3	254	32.15	K14	sample	sample	655565.92394	636471.135211	646018.5295755	-19094.788729	4.41	4.18	32.175	32.123	K14	RPA2	N/A
1	224	22.05	J08	sample	sample	509563.355758	490644.236025	500103.7958915	-18919.119733	3.23	3.15	23.637	20.457	J8	UBE2T	N/A
1	280	20.71	L16	sample	sample	428501.842239	541512.727848	485007.2850435	113010.885609	2.72	3.47	18.728	22.691	L16	FANCM	N/A
1	218	20.55	J02	sample	sample	485115.230337	471976.050336	478545.6403365	-13139.180001	3.07	3.03	22.578	18.513	J2	POLE	N/A
4	76	17.17	D04	sample	sample	458903.453754	425729.610417	442316.5320855	-33173.843337	2.98	2.75	16.984	17.364	D4	FANCA	N/A
1	86	16.62	D14	sample	sample	362698.33142	481422.307134	422060.319277	118723.975714	2.3	3.09	14.01	19.231	D14	FAAP24	N/A
3	278	15.39	L14	sample	sample	387606.683502	396086.209091	391846.4462965	8479.52558900003	2.61	2.6	14.983	15.806	L14	RAN	N/A
4	124	15.13	F04	sample	sample	442851.010576	395778.062561	419314.5365685	-47072.948015	2.88	2.56	15.617	14.644	F4	FANCG	N/A
2	27	14.13	B03	sample	sample	388266.049834	403098.199319	395682.1245765	14832.149485	2.38	2.6	11.89	16.379	B3	PCNA	N/A
4	100	13.5	E04	sample	sample	377758.580588	387712.902746	382735.741667	9954.32215799997	2.45	2.51	12.048	14.947	E4	FANCE	N/A
1	260	13.46	K20	sample	sample	316760.742563	436772.413497	376766.57803	120011.670934	2.01	2.8	11.116	15.804	K20	ATR	N/A
1	311	13.15	M23	pos	pos	304987.996956	411611.565385	358299.7811705	106623.568429	1.93	2.64	10.455	15.852	NA	NA	NA
4	151	12.37	G07	sample	sample	411602.980655	354873.34104	383238.1608475	-56729.639615	2.67	2.29	12.984	11.761	G7	CENPS	N/A
4	28	12.22	B04	sample	sample	378206.439394	359169.723711	368688.0815525	-19036.715683	2.46	2.32	11.998	12.45	B4	FANCL	N/A
3	263	11.9	K23	pos	pos	348762.517456	323543.029909	336152.7736825	-25219.487547	2.35	2.13	12.537	11.254	NA	NA	NA
1	167	11.74	G23	pos	pos	341295.213816	348321.643204	344808.42851	7026.42938800005	2.16	2.23	12.402	11.085	NA	NA	NA
1	263	11.67	K23	pos	pos	294557.018033	386384.37797	340470.6980015	91827.359937	1.87	2.48	9.368	13.964	NA	NA	NA
2	266	11.62	L02	sample	sample	365096.850679	341497.839394	353297.3450365	-23599.011285	2.24	2.2	11.311	11.937	L2	POLR2G	N/A
1	215	11.51	I23	pos	pos	363038.808824	294299.146277	328668.9775505	-68739.662547	2.3	1.89	14.485	8.53	NA	NA	NA
4	291	11.25	M03	sample	sample	347634.927379	340653.069767	344143.998573	-6981.85761200002	2.26	2.2	9.738	12.756	M3	FANCF	N/A
1	210	11.16	I18	sample	sample	311905.63167	336032.299242	323968.965456	24126.667572	1.98	2.16	10.983	11.33	I18	POLR2C	N/A
2	210	11.14	I18	sample	sample	369804.791103	342576.461731	356190.626417	-27228.329372	2.27	2.21	10.523	11.757	I18	CHAF1B	N/A
3	359	10.13	O23	pos	pos	353431.381679	260589.678191	307010.529935	-92841.703488	2.38	1.71	12.9	7.351	NA	NA	NA
3	274	10.02	L10	sample	sample	366580.350757	260331.573585	313455.962171	-106248.777172	2.47	1.71	13.334	6.708	L10	KMT5A	N/A
3	129	9.91	F09	sample	sample	329974.498339	292756.43022	311365.4642795	-37218.068119	2.22	1.92	11.355	8.457	F9	FANCC	N/A
2	359	9.84	O23	pos	pos	448575.310019	236304.812796	342440.0614075	-212270.497223	2.75	1.52	14.644	5.027	NA	NA	NA
1	359	9.66	O23	pos	pos	275395.025292	354787.905632	315091.465462	79392.88034	1.75	2.28	7.112	12.211	NA	NA	NA
1	119	9.65	E23	pos	pos	334262.062794	260814.410047	297538.2364205	-73447.652747	2.12	1.67	12.439	6.858	NA	NA	NA
3	71	9.49	C23	pos	pos	326669.824324	261810.669107	294240.2467155	-64859.155217	2.2	1.72	11.623	7.347	NA	NA	NA
3	132	9.48	F12	sample	sample	268620.210425	341917.533981	305268.872203	73297.323556	1.81	2.25	7.112	11.856	F12	DDB1	N/A
2	119	9.37	E23	pos	pos	333675.727273	302412.483402	318044.1053375	-31263.243871	2.05	1.95	9.021	9.728	NA	NA	NA
3	119	9.27	E23	pos	pos	302634.284211	280243.50134	291438.8927755	-22390.782871	2.04	1.84	9.945	8.599	NA	NA	NA
4	315	9.15	N03	sample	sample	307242.314145	313427.106918	310334.7105315	6184.79277299996	2	2.03	7.119	11.174	N3	FANCB	N/A
2	178	8.82	H10	sample	sample	258378.079031	379185.920705	318781.999868	120807.841674	1.58	2.44	3.924	13.721	H10	POLR2B	N/A
2	71	8.51	C23	pos	pos	346668.85119	266066.100444	306367.475817	-80602.750746	2.13	1.71	9.796	7.221	NA	NA	NA
2	204	8.41	I12	sample	sample	276718.057597	306053.520143	291385.78887	29335.462546	1.7	1.97	6.253	10.566	I12	RBBP4	N/A
2	215	8.28	I23	pos	pos	376348.582278	243763.874233	310056.2282555	-132584.708045	2.31	1.57	11.014	5.549	NA	NA	NA
2	167	8.22	G23	pos	pos	465769.63621	163234.557011	314502.0966105	-302535.079199	2.86	1.05	15.903	0.539	NA	NA	NA
3	215	8.04	I23	pos	pos	257521.22571	280108.805142	268815.015426	22587.579432	1.73	1.84	6.961	9.12	NA	NA	NA
4	175	8.01	H07	sample	sample	279623.75406	307454.178281	293538.9661705	27830.424221	1.82	1.99	6.184	9.838	H7	CENPX	N/A
3	153	7.57	G09	sample	sample	259319.722406	269998.357907	264659.0401565	10678.635501	1.74	1.77	7.395	7.746	G9	CNOT1	N/A
1	314	7.3	N02	sample	sample	292257.790323	248490.569909	270374.180116	-43767.220414	1.85	1.59	9.273	5.332	N2	POLR2F	N/A
2	311	7.23	M23	pos	pos	352258.561051	219108.74412	285683.6525855	-133149.816931	2.16	1.41	10.07	4.394	NA	NA	NA
2	263	7.23	K23	pos	pos	394706.7344	194702.457555	294704.5959775	-200004.276845	2.42	1.25	11.83	2.625	NA	NA	NA
1	71	7.2	C23	pos	pos	301371.842478	221840.486358	261606.164418	-79531.35612	1.91	1.42	10.293	4.098	NA	NA	NA
3	83	6.9	D11	sample	sample	229553.564976	264544.617756	247049.091366	34991.05278	1.54	1.74	5.324	8.479	D11	NUP88	N/A
3	267	6.71	L03	sample	sample	236097.989336	295757.435696	265927.712516	59659.44636	1.59	1.94	5.332	8.087	L3	POLR2D	N/A
3	160	6.51	G16	sample	sample	218087.08575	260364.735577	239225.9106635	42277.649827	1.47	1.71	5.536	7.476	G16	POLR2I	N/A
2	160	6.47	G16	sample	sample	259525.028065	285973.337905	272749.182985	26448.30984	1.59	1.84	4.804	8.133	G16	TIMELESS	N/A
4	263	6.38	K23	pos	pos	257107.243682	264858.939424	260983.091553	7751.69574199998	1.67	1.71	5.451	7.311	NA	NA	NA
3	131	6.27	F11	sample	sample	216248.913599	279443.838906	247846.3762525	63194.925307	1.46	1.84	4.229	8.308	F11	POLR2K	N/A
3	58	6.25	C10	sample	sample	250205.356784	243339.34629	246772.351537	-6866.01049400002	1.68	1.6	6.426	6.071	C10	TICRR	N/A
4	113	5.98	E17	sample	sample	199999.822976	291526.84048	245763.331728	91527.017504	1.3	1.88	2.19	9.764	E17	MYC	N/A
4	215	5.98	I23	pos	pos	287603.984227	216038.421757	251821.202992	-71565.56247	1.87	1.4	7.432	4.521	NA	NA	NA
2	129	5.79	F09	sample	sample	241919.639958	288084.383363	265002.0116605	46164.743405	1.48	1.86	3.919	7.657	F9	NKAP	N/A
2	348	5.7	O12	sample	sample	257317.845087	241557.378114	249437.6116005	-15760.466973	1.58	1.56	5.111	6.296	O12	RNF4	N/A
3	167	5.67	G23	pos	pos	276821.027673	195241.459231	236031.243452	-81579.568442	1.86	1.28	8.399	2.939	NA	NA	NA
2	294	5.59	M06	sample	sample	243721.51863	253560.027397	248640.7730135	9838.50876699999	1.49	1.63	4.437	6.747	M6	ASF1A	N/A
2	128	5.46	F08	sample	sample	268353.727273	255947.624788	262150.6760305	-12406.102485	1.65	1.65	5.249	5.675	F8	CHAF1A	N/A
2	269	5.41	L05	sample	sample	292273.769497	223576.541995	257925.155746	-68697.227502	1.79	1.44	6.984	3.83	L5	SUPT6H	N/A
2	256	5.29	K16	sample	sample	281098.710669	238413.55611	259756.1333895	-42685.154559	1.72	1.54	5.555	5.026	K16	KANSL1	N/A
4	210	5.28	I18	sample	sample	223564.128058	248034.212714	235799.170386	24470.084656	1.45	1.6	3.907	6.647	I18	SFPQ	N/A
3	200	5.21	I08	sample	sample	220208.435219	232881.879217	226545.157218	12673.443998	1.48	1.53	4.622	5.797	I8	ELL	N/A
4	119	5.08	E23	pos	pos	252895.746606	221705.80837	237300.777488	-31189.938236	1.64	1.43	5.389	4.765	NA	NA	NA
2	278	4.79	L14	sample	sample	276436.512195	203915.313015	240175.912605	-72521.19918	1.69	1.31	6.181	3.392	L14	POLR2A	N/A
3	311	4.78	M23	pos	pos	271952.553093	173842.907121	222897.730107	-98109.645972	1.83	1.14	8.019	1.537	NA	NA	NA
4	359	4.71	O23	pos	pos	306527.037518	165204.4	235865.718759	-141322.637518	1.99	1.07	8.274	1.14	NA	NA	NA
4	297	4.65	M09	sample	sample	217598.944444	231435.894289	224517.4193665	13836.949845	1.41	1.5	3.369	5.936	M9	MAD2L1	N/A
4	275	4.64	L11	sample	sample	230471.996899	243327.945946	236899.9714225	12855.949047	1.5	1.57	3.757	5.516	L11	RCC2	N/A
4	246	4.48	K06	sample	sample	241136.265799	230294.86631	235715.5660545	-10841.399489	1.57	1.49	4.438	4.524	K6	BIRC5	N/A
2	228	4.31	J12	sample	sample	207494.559767	211813.917582	209654.2386745	4319.357815	1.27	1.36	3.38	5.232	J12	HIST1H4H	N/A
4	311	4.3	M23	pos	pos	258546.801843	194799.735619	226673.268731	-63747.066224	1.68	1.26	5.546	3.05	NA	NA	NA
2	332	3.98	N20	sample	sample	308868.439781	166754.388801	237811.414291	-142114.05098	1.89	1.07	7.144	0.809	N20	POLR2H	N/A
1	111	3.95	E15	sample	sample	204020.030981	201437.729569	202728.880275	-2582.301412	1.29	1.29	3.909	3.995	E15	POLR2E	N/A
3	206	3.88	I14	sample	sample	191136.626881	219131.850694	205134.2387875	27995.223813	1.29	1.44	2.712	5.054	I14	CDK9	N/A
1	177	3.83	H09	sample	sample	216785.635417	217734.848425	217260.241921	949.213007999992	1.37	1.4	3.354	4.307	H9	H3F3B	N/A
3	204	3.81	I12	sample	sample	201866.532578	210576.06012	206221.296349	8709.527542	1.36	1.38	3.199	4.425	I12	NUP58	N/A
4	279	3.64	L15	sample	sample	202670.491142	207124.987179	204897.7391605	4454.49603699998	1.32	1.34	3.18	4.097	L15	ORC1	N/A
4	71	3.57	C23	pos	pos	221303.895522	183759.849619	202531.8725705	-37544.045903	1.44	1.19	4.565	2.578	NA	NA	NA
4	339	3.25	O03	sample	sample	209181.30394	218503.020105	213842.1620225	9321.71616499999	1.36	1.41	1.926	4.57	O3	FAAP20	N/A
3	227	3.12	J11	sample	sample	192289.579235	194767.473333	193528.526284	2477.89409799999	1.29	1.28	3.002	3.236	J11	MOV10	N/A
2	349	3.1	O13	sample	sample	214527.387707	203556.139161	209041.763434	-10971.248546	1.32	1.31	2.955	3.244	O13	NUP85	N/A
2	253	3.1	K13	sample	sample	196043.317546	213250.884656	204647.101101	17207.56711	1.2	1.37	1.983	4.212	K13	ELP4	N/A
3	322	3.06	N10	sample	sample	193610.097052	217855.353947	205732.7254995	24245.256895	1.3	1.43	2.079	4.041	N10	HIST1H1C	N/A
3	339	3.06	O03	sample	sample	198463.443396	212028.432612	205245.938004	13564.989216	1.34	1.39	3.028	3.085	O3	RSF1	N/A
3	32	3.04	B08	sample	sample	205048.537425	188421.266216	196734.9018205	-16627.271209	1.38	1.24	3.544	2.529	B8	HIST1H2AE	N/A
2	225	3.03	J09	sample	sample	211810.460674	190999.850814	201405.155744	-20810.60986	1.3	1.23	3.207	2.843	J9	HIST1H2AG	N/A
4	79	3.01	D07	sample	sample	178461.081019	250469.707746	214465.3943825	72008.626727	1.16	1.62	0.53	5.499	D7	CDCA8	N/A
2	347	2.97	O11	sample	sample	210491.156844	207740.432507	209115.7946755	-2750.72433700002	1.29	1.34	2.026	3.906	O11	NUP160	N/A
3	300	2.95	M12	sample	sample	183518.700099	207776.735912	195647.7180055	24258.035813	1.23	1.37	2.159	3.742	M12	SUPT16H	N/A
2	255	2.92	K15	sample	sample	204880.623077	204124.042285	204502.332681	-756.580791999993	1.26	1.31	2.105	3.743	K15	RCC1	N/A
1	345	2.88	O09	sample	sample	194058.587912	224543.344282	209300.966097	30484.75637	1.23	1.44	1.019	4.734	O9	CDK1	N/A
2	108	2.84	E12	sample	sample	183488.584437	201844.588321	192666.586379	18356.003884	1.12	1.3	1.626	4.044	E12	KAT5	N/A
4	167	2.83	G23	pos	pos	274274.956848	157560.519139	215917.7379935	-116714.437709	1.78	1.02	6.219	-0.561	NA	NA	NA
3	88	2.83	D16	sample	sample	176583.099193	189254.346216	182918.7227045	12671.247023	1.19	1.24	2.561	3.091	D16	MBD3L3	N/A
4	186	2.8	H18	sample	sample	190650.825	196735.203074	193693.014037	6084.37807399998	1.24	1.27	2.248	3.343	H18	SPRTN	N/A
3	166	2.79	G22	killer	killer	211583.126984	171536.804124	191559.965554	-40046.32286	1.42	1.13	4.224	1.358	NA	NA	NA
4	34	2.74	B10	sample	sample	189231.640977	222783.733092	206007.6870345	33552.092115	1.23	1.44	1.697	3.777	B10	MTBP	N/A
2	176	2.73	H08	sample	sample	183225.268456	234687.087879	208956.1781675	51461.819423	1.12	1.51	0.658	4.797	H8	TSPY4	N/A
2	114	2.72	E18	sample	sample	237112.299363	183121.653199	210116.976281	-53990.646164	1.45	1.18	3.841	1.604	E18	SUPT5H	N/A
4	258	2.71	K18	sample	sample	202968.185654	201045.064885	202006.6252695	-1923.120769	1.32	1.3	2.486	2.941	K18	SRPK1	N/A
