plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	median_ch1	diff_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	normalized_r1_ch1	normalized_r2_ch1	Well2	GeneSymbol	GeneID
2	27	12.39	B03	sample	sample	11.5747508306	12.4275979557	12.00117439315	0.8528471251	1.72	1.92	10.598	14.188	B3	PCNA	N/A
3	254	10.34	K14	sample	sample	11.8665835411	11.2422535211	11.5544185311	-0.62433002	1.85	1.79	10.444	10.231	K14	RPA2	N/A
2	210	10.3	I18	sample	sample	11.4700193424	11.7854454203	11.62773238135	0.3154260779	1.7	1.82	9.074	11.519	I18	CHAF1B	N/A
2	204	9.99	I12	sample	sample	10.6365441907	11.6427931961	11.1396686934	1.0062490054	1.58	1.8	7.471	12.509	I12	RBBP4	N/A
2	294	7.29	M06	sample	sample	9.61732124874	10.0316122234	9.82446673607	0.41429097466	1.43	1.55	6.315	8.26	M6	ASF1A	N/A
2	128	6.21	F08	sample	sample	9.61038961039	9.43803056027	9.52421008533	-0.172359050119999	1.42	1.46	5.739	6.674	F8	CHAF1A	N/A
2	266	5.63	L02	sample	sample	9.07692307692	8.92121212121	8.999067599065	-0.155710955709999	1.35	1.38	5.544	5.717	L2	POLR2G	N/A
4	151	5.6	G07	sample	sample	10.3675595238	9.33294797688	9.85025375034	-1.03461154692	1.53	1.41	6.973	4.229	G7	CENPS	N/A
1	210	5.21	I18	sample	sample	9.01893287435	8.5625	8.790716437175	-0.45643287435	1.37	1.34	5.498	4.917	I18	POLR2C	N/A
3	274	5.06	L10	sample	sample	9.97524071527	8.03396226415	9.00460148971	-1.94127845112	1.56	1.28	6.532	3.581	L10	KMT5A	N/A
1	218	4.75	J02	sample	sample	9.29026217228	7.80536912752	8.5478156499	-1.48489304476	1.42	1.22	6.789	2.705	J2	POLE	N/A
2	298	4.65	M10	sample	sample	8.97853658537	8.47590361446	8.727220099915	-0.50263297091	1.33	1.31	4.5	4.79	M10	HIRA	N/A
2	348	4.63	O12	sample	sample	8.78728323699	8.46085409253	8.62406866476	-0.326429144459999	1.3	1.31	3.979	5.285	O12	RNF4	N/A
3	153	4.4	G09	sample	sample	8.87970918705	8.34363852556	8.611673856305	-0.536070661490001	1.38	1.33	4.776	4.029	G9	CNOT1	N/A
4	175	4.32	H07	sample	sample	8.84918793503	8.71764705882	8.783417496925	-0.13154087621	1.3	1.31	4.887	3.756	H7	CENPX	N/A
2	178	3.8	H10	sample	sample	8.3487881981	9.03524229075	8.692015244425	0.686454092650001	1.24	1.4	1.713	5.89	H10	POLR2B	N/A
2	253	3.56	K13	sample	sample	8.03552206674	8.23492063492	8.13522135083	0.199398568179999	1.19	1.27	3.213	3.904	K13	ELP4	N/A
1	280	3.55	L16	sample	sample	8.17557251908	8.19620253165	8.185887525365	0.0206300125700007	1.25	1.28	3.84	3.251	L16	FANCM	N/A
4	113	3.49	E17	sample	sample	7.63653483992	9.32418524871	8.480360044315	1.68765040879	1.13	1.4	1.444	5.546	E17	MYC	N/A
3	206	3.32	I14	sample	sample	7.53460381143	7.66666666667	7.60063523905	0.13206285524	1.17	1.22	2.902	3.728	I14	CDK9	N/A
1	51	3.23	C03	sample	sample	7.07086614173	8.11924119241	7.59505366707	1.04837505068	1.08	1.27	1.868	4.587	C3	BPTF	N/A
4	246	3.21	K06	sample	sample	9.43308550186	8.04010695187	8.736596226865	-1.39297854999	1.39	1.21	4.34	2.076	K6	BIRC5	N/A
2	228	2.94	J12	sample	sample	7.66763848397	7.57142857143	7.6195335277	-0.09620991254	1.14	1.17	2.306	3.582	J12	HIST1H4H	N/A
3	263	2.87	K23	pos	pos	8.15960099751	7.73602080624	7.947810901875	-0.423580191269999	1.27	1.23	2.883	2.849	NA	NA	NA
4	315	2.85	N03	sample	sample	8.55427631579	8.24618149146	8.400228903625	-0.30809482433	1.26	1.24	2.11	3.585	N3	FANCB	N/A
3	131	2.81	F11	sample	sample	7.44027047333	8.86626139818	8.153265935755	1.42599092485	1.16	1.41	1.457	4.167	F11	POLR2K	N/A
1	299	2.67	M11	sample	sample	7.66318537859	7.14732724902	7.405256313805	-0.51585812957	1.17	1.11	3.606	1.741	M11	DAXX	N/A
1	260	2.56	K20	sample	sample	7.78146453089	8.26380368098	8.022634105935	0.48233915009	1.19	1.29	2.602	2.523	K20	ATR	N/A
4	100	2.55	E04	sample	sample	7.88156723063	8.48741418764	8.184490709135	0.605846957010001	1.16	1.28	1.981	3.11	E4	FANCE	N/A
1	86	2.48	D14	sample	sample	7.34863701578	8.25513905683	7.801888036305	0.90650204105	1.12	1.29	1.676	3.28	D14	FAAP24	N/A
3	300	2.42	M12	sample	sample	7.49354518371	7.99005524862	7.741800216165	0.49651006491	1.17	1.27	1.432	3.412	M12	SUPT16H	N/A
3	215	2.39	I23	pos	pos	7.58146487294	7.14073071719	7.361097795065	-0.44073415575	1.18	1.14	2.393	2.396	NA	NA	NA
3	205	2.38	I13	sample	sample	7.47300564061	7.56882022472	7.520912932665	0.0958145841099993	1.17	1.2	1.748	3.005	I13	TRIP12	N/A
1	131	2.37	F11	sample	sample	7.35024752475	7.73056994819	7.54040873647	0.38032242344	1.12	1.21	1.99	2.745	F11	HIST1H3E	N/A
4	79	2.31	D07	sample	sample	7.43055555556	8.25	7.84027777778	0.81944444444	1.1	1.24	1.818	2.808	D7	CDCA8	N/A
2	332	2.3	N20	sample	sample	9.2098540146	6.41246056782	7.81115729121	-2.79739344678	1.36	0.99	4.997	-0.394	N20	POLR2H	N/A
2	317	2.29	N05	sample	sample	7.56195965418	8.41414141414	7.98805053416	0.85218175996	1.12	1.3	1.225	3.359	N5	HIST1H3B	N/A
2	119	2.28	E23	pos	pos	7.22479338843	7.71680497925	7.47079918384	0.49201159082	1.07	1.19	1.046	3.517	NA	NA	NA
