Run ID,1579271408
Run Date/Time,2020-01-17 09:40:40
Application Name,Labcyte Echo Cherry Pick
Application Version,1.6.5
Protocol Name,200114_Synthego_Reformatting_Random.ecp
Compound Pick List File Name,C:\Users\nci-lrbge_HCS\Documents\R\R_Scripts\191125_CRISPR_Epigenetics_Reformat\Output\sgRNA_Epigenetics_Library.csv
Control Pick List File Name,
User Name,NCI-LRBGE_HCS

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Well,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,B10,Destination Plate[1],dest_plate_1,O18,1300,1300,51.748,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,L10,Destination Plate[1],dest_plate_1,O17,1300,1300,52.553,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,M10,Destination Plate[1],dest_plate_1,E17,1300,1300,53.894,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,L11,Destination Plate[1],dest_plate_1,L15,1300,1300,51.562,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,F11,Destination Plate[1],dest_plate_1,G15,1300,1300,51.933,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,G11,Destination Plate[1],dest_plate_1,C20,1300,1300,50.736,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,H11,Destination Plate[1],dest_plate_1,C21,1300,1300,50.592,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,K11,Destination Plate[1],dest_plate_1,N4,1300,1300,53.523,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,O11,Destination Plate[1],dest_plate_1,O8,1300,1300,50.612,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,M13,Destination Plate[1],dest_plate_1,M11,1300,1300,51.954,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,L13,Destination Plate[1],dest_plate_1,J4,1300,1300,50.199,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,F13,Destination Plate[1],dest_plate_1,O2,1300,1300,50.592,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,D13,Destination Plate[1],dest_plate_1,J9,1300,1300,51.479,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,G13,Destination Plate[1],dest_plate_1,I13,1300,1300,51.562,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,G14,Destination Plate[1],dest_plate_1,O14,1300,1300,53.626,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,E14,Destination Plate[1],dest_plate_1,N8,1300,1300,53.812,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,B14,Destination Plate[1],dest_plate_1,I7,1300,1300,51.128,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,I14,Destination Plate[1],dest_plate_1,B11,1300,1300,50.881,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,G15,Destination Plate[1],dest_plate_1,G6,1300,1300,51.066,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,K15,Destination Plate[1],dest_plate_1,H6,1300,1300,53.585,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,J15,Destination Plate[1],dest_plate_1,M10,1300,1300,51.046,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,B15,Destination Plate[1],dest_plate_1,M14,1300,1300,49.621,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,E15,Destination Plate[1],dest_plate_1,F16,1300,1300,53.812,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,H15,Destination Plate[1],dest_plate_1,D21,1300,1300,51.83,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,L16,Destination Plate[1],dest_plate_1,D20,1300,1300,53.069,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,J16,Destination Plate[1],dest_plate_1,C16,1300,1300,52.243,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,D16,Destination Plate[1],dest_plate_1,M16,1300,1300,54.245,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,F16,Destination Plate[1],dest_plate_1,M2,1300,1300,51.376,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,K16,Destination Plate[1],dest_plate_1,K2,1300,1300,52.429,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,B16,Destination Plate[1],dest_plate_1,C2,1300,1300,52.099,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,J17,Destination Plate[1],dest_plate_1,E9,1300,1300,50.86,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,K17,Destination Plate[1],dest_plate_1,D14,1300,1300,53.234,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,H17,Destination Plate[1],dest_plate_1,B18,1300,1300,51.231,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,F17,Destination Plate[1],dest_plate_1,O7,1300,1300,53.771,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,H18,Destination Plate[1],dest_plate_1,N11,1300,1300,51.624,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,C18,Destination Plate[1],dest_plate_1,L16,1300,1300,53.523,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,J18,Destination Plate[1],dest_plate_1,I21,1300,1300,46.484,100,,AQ,
